Designator,Mid X,Mid Y,Layer,Rotation
D1,16.500mm,19.500mm,Top,90
D2,16.500mm,44.500mm,Top,90
D3,37.500mm,40.000mm,Top,90
D4,58.500mm,34.000mm,Top,90
D5,82.000mm,20.000mm,Top,90
D6,82.000mm,46.500mm,Top,90
U1,46.000mm,50.000mm,Bottom,0
U2,46.000mm,27.000mm,Bottom,0
U3,26.000mm,50.000mm,Bottom,0
U4,65.000mm,51.000mm,Bottom,0
U5,37.000mm,61.000mm,Bottom,0
J1,48.000mm,66.000mm,Bottom,180
Y1,29.000mm,42.000mm,Bottom,0
SW1,78.000mm,57.000mm,Bottom,0
SW2,87.000mm,57.000mm,Bottom,0
R1,39.000mm,56.000mm,Bottom,0
R2,43.000mm,56.000mm,Bottom,0
R3,67.000mm,62.000mm,Bottom,0
R4,72.000mm,62.000mm,Bottom,0
R5,54.000mm,31.000mm,Bottom,0
R6,58.000mm,31.000mm,Bottom,0
R7,50.000mm,31.000mm,Bottom,0
R8,62.000mm,31.000mm,Bottom,0
C1,40.000mm,44.000mm,Bottom,0
C2,52.000mm,44.000mm,Bottom,0
C3,40.000mm,23.000mm,Bottom,0
C4,52.000mm,23.000mm,Bottom,0
C5,24.000mm,45.000mm,Bottom,0
C6,68.000mm,47.000mm,Bottom,0
C7,35.000mm,58.000mm,Bottom,0
C8,61.000mm,56.000mm,Bottom,0
C9,31.000mm,36.000mm,Bottom,0
C10,61.000mm,36.000mm,Bottom,0
C11,69.000mm,56.000mm,Bottom,0
C12,68.000mm,60.000mm,Bottom,0
C13,26.000mm,38.000mm,Bottom,0
C14,32.000mm,38.000mm,Bottom,0
C15,41.000mm,31.000mm,Bottom,0
C16,62.000mm,27.000mm,Bottom,0
